suite,run_id_safe,bench,gc_flag,rep,wall_s,energy_total_j,energy_pkg_j,energy_dram_j,energy_pp0_j,energy_pp1_j,cpu_pct_avg,rss_mb_avg,throughput_iter_per_s,gc_pause_ms_avg
maven,maven_run_alloc10_2_39f2c88b,run_alloc10,-XX:+UseZGC,2,10.87,234.797363,234.762451,0.0,0.017456,0.017456,,6515.988,0.091996,0.0
maven,maven_run_alloc10_3_c6650fab,run_alloc10,-XX:+UseZGC,3,10.87,241.631226,241.631226,0.0,0.0,0.0,,6529.82,0.091996,0.0
maven,maven_run_alloc10_4_66a316c3,run_alloc10,-XX:+UseZGC,4,10.85,240.177917,240.173279,0.0,0.002319,0.002319,,6542.363,0.092166,0.0
maven,maven_run_alloc10_5_5b49c724,run_alloc10,-XX:+UseZGC,5,10.88,242.088318,242.088318,0.0,0.0,0.0,,6460.984,0.091912,0.0
maven,maven_run_alloc10_6_9b139946,run_alloc10,-XX:+UseZGC,6,10.83,239.699951,239.699951,0.0,0.0,0.0,,6532.742,0.092336,0.0
maven,maven_run_alloc10_7_6d46e432,run_alloc10,-XX:+UseZGC,7,10.77,242.531616,242.5271,0.0,0.002258,0.002258,,6937.789,0.092851,0.0
maven,maven_run_alloc10_8_a449ed10,run_alloc10,-XX:+UseZGC,8,10.86,241.201477,241.201477,0.0,0.0,0.0,,6520.551,0.092081,0.0
maven,maven_run_alloc10_9_67b0aeb6,run_alloc10,-XX:+UseZGC,9,10.82,240.551392,240.546265,0.0,0.002563,0.002563,,6493.488,0.092421,0.0
maven,maven_run_alloc10_10_82133804,run_alloc10,-XX:+UseZGC,10,10.84,242.884216,242.884216,0.0,0.0,0.0,,6084.062,0.092251,0.0
ant,ant_run_1_e719b182,run,-XX:+UseSerialGC,1,15.41,254.706421,254.495117,0.0,0.105652,0.105652,,4056.582,0.064893,0.0
ant,ant_run_2_ac07c7ca,run,-XX:+UseSerialGC,2,15.41,261.963196,261.946106,0.0,0.008545,0.008545,,4056.68,0.064893,0.0
ant,ant_run_3_79f741d4,run,-XX:+UseSerialGC,3,15.42,260.732788,260.732788,0.0,0.0,0.0,,4056.879,0.064851,0.0
ant,ant_run_4_835eba04,run,-XX:+UseSerialGC,4,15.42,260.023865,260.018494,0.0,0.002686,0.002686,,4057.109,0.064851,0.0
ant,ant_run_5_7eb098a2,run,-XX:+UseSerialGC,5,15.42,261.526917,261.526917,0.0,0.0,0.0,,4057.023,0.064851,0.0
